Order_id,Spot_id,Shop_id,Pickup_time,Delivery_time,Num
E0005,B3341,S001,16:39,18:09,1
E0008,B4012,S001,16:49,18:19,1
E0011,B4765,S001,15:28,16:58,3
E0014,B6315,S001,11:36,13:06,1
E0017,B6315,S001,17:48,19:18,1
E0023,B0434,S002,18:28,19:58,5
E0026,B1412,S003,12:29,13:59,1
E0029,B3341,S003,14:15,15:45,1
E0032,B3569,S003,11:49,13:19,2
E0035,B3569,S003,12:59,14:29,4
E0038,B3569,S003,17:41,19:11,1
E0041,B3960,S003,14:24,15:54,6
E0044,B3960,S003,17:28,18:58,5
E0047,B0434,S003,12:34,14:04,3
E0050,B0064,S003,16:21,17:51,1
E0053,B7768,S003,17:28,18:58,1
E0056,B7861,S003,14:33,16:03,1
E0059,B1292,S004,13:09,14:39,1
E0062,B1425,S004,18:01,19:31,1
E0065,B3481,S004,12:12,13:42,1
E0068,B0434,S004,11:37,13:07,1
E0071,B6629,S004,12:29,13:59,2
E0074,B7861,S004,11:56,13:26,2
E0077,B3569,S005,16:39,18:09,1
E0080,B3960,S007,15:30,17:00,11
E0083,B4765,S008,17:56,19:26,1
E0089,B3341,S010,17:43,19:13,7
E0092,B6315,S010,17:57,19:27,8
E0095,B3155,S011,18:13,19:43,3
E0098,B3341,S011,12:49,14:19,2
E0101,B3569,S011,18:21,19:51,1
E0104,B0434,S011,13:54,15:24,1
E0107,B5710,S011,12:01,13:31,1
E0110,B0064,S011,17:42,19:12,2
E0113,B6449,S011,12:58,14:28,1
E0116,B7375,S011,17:07,18:37,1
E0119,B1548,S012,17:17,18:47,2
E0122,B3058,S012,13:24,14:54,1
E0125,B3062,S012,17:58,19:28,1
E0128,B3341,S012,15:33,17:03,1
E0131,B3341,S012,18:27,19:57,3
E0134,B0434,S012,18:24,19:54,1
E0137,B5948,S012,17:56,19:26,1
E0140,B6350,S012,12:19,13:49,1
E0146,B5143,S013,18:24,19:54,3
E0149,B1036,S014,14:54,16:24,1
E0152,B1548,S014,13:43,15:13,1
E0155,B2477,S014,11:42,13:12,1
E0158,B3058,S014,17:22,18:52,1
E0161,B3341,S014,16:53,18:23,1
E0164,B0434,S014,12:15,13:45,2
E0167,B0434,S014,18:10,19:40,1
E0170,B5710,S014,12:13,13:43,3
E0173,B5710,S014,17:13,18:43,1
E0176,B6315,S014,17:59,19:29,1
E0179,B7861,S014,18:05,19:35,1
E0182,B3341,S015,12:24,13:54,1
E0185,B3341,S015,17:24,18:54,1
E0188,B0064,S015,12:53,14:23,1
E0191,B1036,S016,13:00,14:30,2
E0194,B1412,S016,12:43,14:13,1
E0200,B1548,S016,14:44,16:14,4
E0209,B3009,S016,16:29,17:59,1
E0212,B3058,S016,17:02,18:32,2
E0215,B3062,S016,14:26,15:56,2
E0218,B3062,S016,18:23,19:53,1
E0221,B3341,S016,12:08,13:38,4
E0224,B3341,S016,12:44,14:14,6
E0227,B3341,S016,13:35,15:05,1
E0230,B3341,S016,16:13,17:43,14
E0233,B3341,S016,17:09,18:39,2
E0236,B3341,S016,17:57,19:27,2
E0239,B3481,S016,16:41,18:11,1
E0242,B3960,S016,11:52,13:22,1
E0245,B0434,S016,11:41,13:11,1
E0248,B0434,S016,12:29,13:59,2
E0251,B0434,S016,13:29,14:59,1
E0254,B0434,S016,15:07,16:37,13
E0257,B0434,S016,15:38,17:08,1
E0260,B0434,S016,17:27,18:57,3
E0263,B0434,S016,18:02,19:32,1
E0266,B4765,S016,17:05,18:35,5
E0269,B5143,S016,12:09,13:39,1
E0272,B5143,S016,14:12,15:42,1
E0275,B5143,S016,16:21,17:51,1
E0278,B5710,S016,12:12,13:42,2
E0281,B5710,S016,12:59,14:29,2
E0284,B5710,S016,15:13,16:43,1
E0287,B5710,S016,17:07,18:37,1
E0290,B5710,S016,18:10,19:40,3
E0293,B0064,S016,11:38,13:08,1
E0296,B0064,S016,12:25,13:55,3
E0299,B0064,S016,13:10,14:40,2
E0302,B6315,S016,11:32,13:02,1
E0305,B6315,S016,13:03,14:33,5
E0308,B6315,S016,15:48,17:18,6
E0311,B6350,S016,12:08,13:38,1
E0314,B6350,S016,16:59,18:29,1
E0317,B6449,S016,12:42,14:12,2
E0323,B7768,S016,12:35,14:05,1
E0326,B8851,S016,11:31,13:01,1
E0329,B8905,S016,18:01,19:31,1
E0332,B0305,S017,11:50,13:20,1
E0335,B3341,S017,12:41,14:11,1
E0338,B3341,S017,17:03,18:33,1
E0341,B3481,S017,12:12,13:42,2
E0344,B0434,S017,12:28,13:58,2
E0347,B5710,S017,12:56,14:26,1
E0350,B6315,S017,17:55,19:25,1
E0356,B3058,S018,15:52,17:22,1
