Courier_id,Addr,Arrival_time,Departure,Amount,Order_id
D0467,A061,0,0,72,F4972
D0467,A061,0,0,43,F4915
D0467,A061,0,0,12,F4932
D0467,B8243,4,34,-72,F4972
D0467,B4841,40,65,-43,F4915
D0467,B5774,85,100,-12,F4932
D0467,S418,159,299,5,E3052
D0467,B7768,403,415,-5,E3052
D0467,S415,695,695,1,E3039
D0467,B7768,975,983,-1,E3039
D0466,A061,0,0,42,F4950
D0466,A061,0,0,38,F4975
D0466,A061,0,0,17,F4949
D0466,A061,0,0,15,F4872
D0466,A061,0,0,8,F4984
D0466,A061,0,0,7,F4965
D0466,A061,0,0,6,F4951
D0466,B8506,11,34,-38,F4975
D0466,B6820,36,60,-42,F4950
D0466,A061,72,72,42,F4947
D0466,A061,72,72,34,F4981
D0466,A061,72,72,9,F4931
D0466,B6847,79,91,-6,F4951
D0466,B5755,103,117,-9,F4931
D0466,B9099,130,143,-8,F4984
D0466,B7892,145,158,-7,F4965
D0466,B6693,161,178,-17,F4949
D0466,B8760,183,205,-34,F4981
D0466,B6521,207,231,-42,F4947
D0466,S021,344,426,1,E0510
D0466,B7768,587,595,-1,E0510
D0466,B2124,601,618,-15,F4872
D0466,A061,637,637,41,F4855
D0466,A061,637,637,35,F4958
D0466,A061,637,637,32,F4942
D0466,A061,637,637,20,F4845
D0466,A061,637,637,10,F4979
D0466,B1131,647,671,-41,F4855
D0466,B7312,673,696,-35,F4958
D0466,B8552,699,713,-10,F4979
D0466,B6327,714,736,-32,F4942
D0466,B0469,737,755,-20,F4845
D0465,A061,0,0,43,F4953
D0465,A061,0,0,42,F4908
D0465,A061,0,0,36,F4849
D0465,A061,0,0,17,F4939
D0465,B4468,6,30,-42,F4908
D0465,B7057,32,57,-43,F4953
D0465,B0661,59,82,-36,F4849
D0465,B6112,85,102,-17,F4939
D0465,S476,341,341,1,E3415
D0465,S463,347,347,1,E3348
D0465,B7768,603,611,-1,E3348
D0465,B7768,611,619,-1,E3415
D0465,S414,899,899,4,E3019
D0465,B7768,1179,1190,-4,E3019
D0464,A061,0,0,56,F4839
D0464,A061,0,0,35,F4842
D0464,A061,0,0,27,F4903
D0464,A061,0,0,4,F4970
D0464,A061,0,0,2,F4955
D0464,S003,148,266,13,E0052
D0464,S016,269,275,1,E0323
D0464,B7768,436,444,-1,E0323
D0464,B7768,444,460,-13,E0052
D0464,B7097,476,485,-2,F4955
D0464,B8034,489,500,-4,F4970
D0464,B4261,503,524,-27,F4903
D0464,B0329,526,549,-35,F4842
D0464,S421,816,816,15,E3096
D0464,B0530,1087,1104,-15,E3096
D0464,B0074,1140,1167,-56,F4839
D0463,A061,0,0,49,F4906
D0463,A061,0,0,31,F4940
D0463,A061,0,0,29,F4929
D0463,A061,0,0,28,F4910
D0463,B4450,16,42,-49,F4906
D0463,B5598,52,73,-29,F4929
D0463,B4501,78,99,-28,F4910
D0463,B6193,102,124,-31,F4940
D0463,S021,261,261,1,E0508
D0463,B7768,422,430,-1,E0508
D0463,A061,450,450,31,F4838
D0463,A061,450,450,28,F4954
D0463,A061,450,450,19,F4919
D0463,A061,450,450,15,F4879
D0463,A061,450,450,15,F4937
D0463,A061,450,450,15,F4875
D0463,A061,450,450,7,F4848
D0463,B6001,461,478,-15,F4937
D0463,B0568,480,493,-7,F4848
D0463,B2438,497,514,-15,F4879
D0463,B2203,517,534,-15,F4875
D0463,B4938,537,555,-19,F4919
D0463,B0034,558,580,-31,F4838
D0463,A061,583,583,51,F4886
D0463,A061,583,583,30,F4859
D0463,A061,583,583,28,F4917
D0463,B4910,597,618,-28,F4917
D0463,B2986,623,649,-51,F4886
D0463,B7082,653,674,-28,F4954
D0463,B1303,678,699,-30,F4859
D0462,A061,0,0,44,F4895
D0462,A061,0,0,38,F4902
D0462,A061,0,0,36,F4890
D0462,A061,0,0,12,F4974
D0462,A061,0,0,10,F4882
D0462,B3654,16,41,-44,F4895
D0462,B3258,43,66,-36,F4890
D0462,S382,294,338,1,E2891
D0462,B7768,582,590,-1,E2891
D0462,B8360,608,623,-12,F4974
D0462,B2719,626,640,-10,F4882
D0462,A061,645,645,44,F4904
D0462,A061,645,645,37,F4946
D0462,A061,645,645,19,F4933
D0462,B4222,659,682,-38,F4902
D0462,B4275,686,711,-44,F4904
D0462,B5834,715,733,-19,F4933
D0462,B6458,737,760,-37,F4946
D0461,A061,0,0,41,F4883
D0461,A061,0,0,26,F4948
D0461,A061,0,0,21,F4978
D0461,A061,0,0,19,F4847
D0461,A061,0,0,16,F4976
D0461,B6585,8,28,-26,F4948
D0461,B0537,35,53,-19,F4847
D0461,B2748,56,80,-41,F4883
D0461,A061,92,92,47,F4878
D0461,A061,92,92,40,F4874
D0461,B2409,111,137,-47,F4878
D0461,B2191,142,166,-40,F4874
D0461,B8515,178,195,-16,F4976
D0461,A061,199,199,45,F4960
D0461,A061,199,199,40,F4901
D0461,A061,199,199,30,F4892
D0461,B3471,202,223,-30,F4892
D0461,B8534,232,251,-21,F4978
D0461,B4221,252,276,-40,F4901
D0461,B7427,281,306,-45,F4960
D0461,A061,318,318,74,F4867
D0461,A061,318,318,40,F4900
D0461,A061,318,318,19,F4935
D0461,B3905,328,352,-40,F4900
D0461,B1867,356,387,-74,F4867
D0461,B5928,397,415,-19,F4935
D0461,A061,418,418,47,F4856
D0461,A061,418,418,47,F4930
D0461,A061,418,418,40,F4964
D0461,B1183,422,448,-47,F4856
D0461,B5605,450,476,-47,F4930
D0461,B7830,480,504,-40,F4964
D0461,A061,511,511,49,F4927
D0461,A061,511,511,42,F4916
D0461,A061,511,511,33,F4941
D0461,B6298,527,549,-33,F4941
D0461,B5502,552,578,-49,F4927
D0461,B4875,580,604,-42,F4916
D0460,A061,0,0,31,F4862
D0460,A061,0,0,18,F4961
D0460,A061,0,0,18,F4887
D0460,A061,0,0,17,F4866
D0460,A061,0,0,11,F4837
D0460,A061,0,0,8,F4980
D0460,A061,0,0,7,F4893
D0460,A061,0,0,5,F4925
D0460,A061,0,0,5,F4869
D0460,A061,0,0,5,F4898
D0460,A061,0,0,4,F4977
D0460,B2055,13,25,-5,F4869
D0460,B8520,36,47,-4,F4977
D0460,B3520,52,65,-7,F4893
D0460,B3024,75,93,-18,F4887
D0460,B1418,97,119,-31,F4862
D0460,B8754,122,135,-8,F4980
D0460,B3778,142,154,-5,F4898
D0460,B0026,160,175,-11,F4837
D0460,B5496,178,190,-5,F4925
D0460,B7494,192,210,-18,F4961
D0460,B1829,212,229,-17,F4866
D0460,S545,477,477,1,E3859
D0460,B7768,749,757,-1,E3859
D0460,S379,996,996,1,E2878
D0460,B7768,1235,1243,-1,E2878
D0544,A070,0,0,28,F5764
D0544,A070,0,0,28,F5763
D0544,A070,0,0,21,F5696
D0544,A070,0,0,20,F5742
D0544,A070,0,0,12,F5759
D0544,A070,0,0,10,F5745
D0544,A070,0,0,9,F5758
D0544,A070,0,0,6,F5689
D0544,A070,0,0,6,F5737
D0544,B3688,15,34,-21,F5696
D0544,B8891,39,60,-28,F5763
D0544,B7022,63,75,-6,F5737
D0544,B7800,78,92,-10,F5745
D0544,B2902,99,111,-6,F5689
D0544,B8347,112,126,-9,F5758
D0544,B7518,134,152,-20,F5742
D0544,B8928,155,176,-28,F5764
D0544,A070,181,181,55,F5652
D0544,A070,181,181,20,F5707
D0544,A070,181,181,18,F5678
