Spot_id,Lng,Lat
B9211,121.551903,31.24445
B0006,121.169365,31.116888
B0008,121.491043,31.279089
B0010,121.612473,31.528543
B0012,121.549202,31.199797
B0013,121.191795,30.83181
B0017,121.366547,31.214243
B0023,121.414345,30.930019
B0025,121.521027,31.090162
B0026,121.257507,30.779938
B0036,121.10482,31.155571
B0037,121.4104,31.104406
B0041,121.495361,31.22114
B0043,121.172287,30.882114
B0047,121.134041,31.233793
B0049,121.249977,31.377104
B0050,121.415932,31.218914
B0054,121.263855,31.161102
B0062,121.341469,30.852924
B0064,121.197929,31.050875
B0065,121.366425,31.344074
B0069,121.482147,31.174603
B0077,121.359123,31.241215
B0078,121.698074,31.198345
B0079,121.439438,31.399061
B0082,121.525604,31.158667
B0088,121.212753,31.220249
B0089,121.523621,31.214422
B0091,121.293282,31.220816
B0097,121.293022,31.447527
B0098,121.377014,31.104771
B0099,121.587669,31.20183
B0105,121.052139,31.115046
B0110,121.449051,31.100916
B0113,121.372299,31.158754
B0124,121.481506,31.225897
B0130,121.260338,31.017895
B0134,121.839607,31.340549
B0135,121.512962,31.161264
B0138,121.487617,31.409992
B0143,121.205528,31.013186
B0150,121.429581,30.985029
B0152,121.361351,31.484863
B0154,121.132027,30.938459
B0156,121.464226,31.232939
B0157,121.319191,31.092342
B0159,121.698456,31.62879
B0168,121.418282,31.27091
B0174,121.9077,30.9541
B0178,121.784576,31.173536
B0179,121.480446,31.209911
B0184,121.853256,30.863577
B0187,121.438393,31.368641
B0188,121.623215,31.19598
B0189,121.519241,31.199198
B0199,121.222504,31.185099
B0205,121.32608,31.721451
B0207,121.456398,30.939013
B0209,121.572304,31.094854
B0212,121.447556,31.250818
B0214,121.311249,31.203075
B0217,121.67691,31.186155
B0218,121.924576,30.902142
B0219,121.070396,31.251076
B0222,121.426498,31.115999
B0223,121.443443,31.338118
B0227,121.073326,30.866739
B0231,121.494438,31.078949
B0233,121.492508,31.330614
B0236,121.514427,31.293182
B0237,121.234779,31.004314
B0243,121.589729,31.24227
B0248,121.260635,31.085924
B0249,121.389603,31.259251
B0254,121.541595,31.291855
B0259,121.34742,31.067102
B0266,121.408951,31.302919
B0267,121.485291,31.110331
B0276,121.391357,31.165018
B0278,121.441681,31.135742
B0279,121.499855,31.396515
B0281,121.388031,31.09852
B0283,121.565041,30.98114
B0284,121.590157,31.180206
B0291,121.472488,31.233086
B0292,121.520653,31.269718
B0293,121.30217,31.02503
B0295,121.674438,31.277279
B0297,121.748642,30.982441
B0300,121.613556,31.292696
B0303,121.468376,31.403214
B0306,121.731049,31.213083
B0308,121.346519,31.300409
B0310,121.332909,30.797098
B0317,121.681793,31.405022
B0318,120.90036,31.097816
B0319,121.139038,31.153612
B0320,121.600624,31.645224
B0324,121.538033,31.224367
B0327,121.505898,30.841486
B0329,121.340668,30.711861
B0334,121.227272,31.245712
B0337,121.353508,31.280863
B0344,121.497253,31.210629
B0346,121.512337,31.083733
B0349,121.188942,31.19768
B0350,121.190994,30.785559
B0352,121.705322,31.150219
B0354,121.444115,31.216589
B0364,121.28656,31.063551
B0365,121.332756,31.224276
B0366,121.491798,31.383812
B0369,121.404106,31.213856
B0370,121.512878,31.224062
B0371,121.084023,31.249727
B0375,121.193481,31.298281
B0376,121.252274,31.106329
B0379,121.604851,31.025097
B0380,121.34771,30.881744
B0398,121.451042,30.901136
B0399,121.494652,31.262604
B0400,121.527931,31.145668
B0412,121.331108,31.829733
B0414,121.537971,31.159178
B0416,121.484093,31.237606
B0418,121.413193,31.095831
B0423,121.456108,31.214964
B0424,121.641388,31.334425
B0425,121.112396,31.160505
B0431,121.427055,31.419205
B0432,121.507301,31.276817
B0434,121.217018,31.049732
B0436,121.483421,31.200052
B0438,121.251625,31.22695
B0439,121.451172,31.043316
B0441,121.414642,30.7964
B0442,121.43885,31.151464
B0443,121.543114,31.629915
B0448,121.178123,31.27178
B0452,121.507721,31.096563
B0453,121.338989,30.993191
B0454,121.426064,31.143278
B0459,121.455124,31.656656
B0460,121.377167,31.031336
B0464,121.127159,30.988176
B0465,121.48494,30.876682
B0469,121.3134,30.747164
B0470,121.157005,31.032846
B0471,121.093231,31.208946
B0472,121.387138,31.06386
B0475,121.377876,31.278585
B0480,121.315704,31.164207
B0481,121.181969,30.974142
B0484,121.220261,31.420824
B0485,121.430748,31.130724
B0486,121.051476,30.891884
B0487,121.693161,30.92379
B0490,121.361343,31.135242
B0495,121.597061,31.316998
B0497,121.51757,31.206898
B0498,121.485809,31.128019
B0502,121.378853,31.323589
B0510,121.310577,31.341951
B0511,121.595184,31.335417
B0514,121.377716,31.358288
B0517,121.431824,31.205063
B0518,121.826553,31.021597
B0522,121.666138,31.310652
B0524,121.507118,31.192198
B0526,121.397621,31.376698
B0528,121.485802,31.302313
B0532,121.414948,31.355724
B0533,121.548264,31.265272
B0534,121.154091,31.299549
B0535,121.419044,31.006033
B0538,121.589699,31.438631
B0539,121.360016,31.204529
B0543,121.381142,31.146782
B0544,121.618294,30.978674
B0548,121.722664,31.239172
B0552,121.505013,30.831057
B0557,121.524414,31.226925
B0560,121.475006,31.222849
B0561,121.587296,31.149302
B0563,121.678368,31.247986
B0567,121.190536,31.141655
B0568,121.276146,30.728891
B0571,121.282982,31.29093
B0574,121.461082,31.276169
B0575,121.262398,31.377533
B0576,121.265312,31.180605
B0577,121.323586,31.071884
B0579,121.393105,30.82732
B0588,121.413399,31.141699
B0591,121.170715,31.098463
B0592,121.509178,31.123415
B0597,121.504646,31.150286
B0605,121.590248,31.267336
B0608,121.581917,31.199276
B0609,121.248955,31.207699
B0611,121.513992,31.140932
B0613,121.297028,31.355453
B0616,121.280685,31.145988
B0622,121.520424,31.230415
B0623,121.255684,31.005192
B0624,121.611008,31.263626
B0625,121.131248,30.792505
B0628,121.366158,31.35918
B0632,121.592445,31.192793
B0638,121.530037,30.873211
B0641,121.419693,31.09083
B0643,121.655632,31.182625
B0644,121.207489,30.894255
B0645,121.351288,31.402599
B0650,121.677414,31.21455
B0654,121.407425,31.207098
B0656,121.338326,31.472986
B0658,121.121574,31.179562
B0659,121.133316,31.264578
B0660,121.363564,31.156782
B0661,121.324654,30.722361
B0663,121.398315,31.238916
B0664,121.360939,31.210598
B0666,121.574806,31.188334
B0668,121.345093,31.389341
B0678,121.397926,31.120945
B0680,121.617546,31.137781
B0681,121.470802,31.381641
B0685,121.323532,31.40584
B0687,121.657043,30.9088
B0690,121.42981,31.182005
B0693,121.19809,31.434298
B0695,121.267334,30.799891
B0698,121.576248,30.928205
B0702,121.131622,31.028534
B0703,121.084373,31.176037
B0706,121.450249,31.168016
B0709,121.411537,31.020584
B0711,121.258339,31.19347
B0715,121.513535,31.338486
B0719,121.753136,31.181362
B0720,121.299644,31.331539
B0723,121.44783,31.262983
B0728,121.437904,31.383596
B0730,121.271919,31.002434
B0731,121.15844,30.891268
B0732,121.45961,31.404875
B0733,121.23951,31.1436
B0734,121.400879,31.164099
B0739,121.540833,31.272707
B0742,121.354774,31.166323
B0744,121.196861,30.834023
B0748,121.875664,30.86854
B0750,121.288742,30.812401
B0753,121.486732,31.273441
B0758,121.403786,31.103247
B0759,121.225212,31.220718
B0764,121.584923,31.573709
B0766,121.346542,30.835239
B0768,121.759445,31.118826
B0769,121.486488,31.260502
B0773,120.970863,31.051279
B0781,121.506775,31.073277
B0790,121.39679,31.217024
B0793,121.44339,31.361975
B0796,121.635674,31.185465
B0799,121.272865,31.150049
B0801,121.318642,31.464592
B0802,121.23539,30.82881
B0805,121.484673,31.207211
B0807,121.398445,31.069973
B0812,121.633362,31.318016
B0816,121.537155,31.327602
B0820,121.271317,31.385923
B0825,121.473495,31.202858
B0826,121.400803,31.248779
B0828,121.523674,31.024727
B0834,121.271912,31.297859
B0840,121.621063,31.263172
B0841,121.783195,31.041477
B0843,121.885086,30.885405
B0846,121.555901,31.073658
B0847,121.819397,30.971491
B0848,121.519264,31.705389
B0849,121.436729,31.217978
B0851,121.533257,31.363127
B0854,121.325645,30.896236
B0855,121.586975,31.292011
B0858,121.60392,31.239882
B0859,121.070938,31.11454
B0864,121.200928,31.02257
B0867,121.383659,31.159842
B0868,121.605522,31.165197
B0873,121.483505,31.244711
B0875,121.335129,31.254354
B0878,121.562309,31.156639
B0880,121.452171,31.749403
B0883,121.013542,31.107748
B0884,121.41555,30.903341
B0890,121.388939,31.276617
B0891,121.219467,31.352549
B0893,121.401253,31.735138
B0894,121.441872,31.015686
B0895,121.42942,31.302809
B0899,121.50721,31.28616
B0906,121.350342,31.357843
B0909,121.27813,31.838978
B0912,121.335785,31.158241
B0913,121.430161,31.06723
B0915,121.440193,30.915854
B0916,121.621971,31.326017
B0921,121.663254,31.275299
B0922,121.485481,31.15703
B0923,121.489113,31.175549
B0925,121.470634,31.324717
B0934,121.319771,31.146887
B0939,121.224442,31.126732
B0941,121.446648,30.933306
B0946,121.852936,31.321423
B0950,121.718445,31.154245
B0956,121.331001,31.133945
B0957,121.533348,31.148472
B0967,121.585175,31.041412
B0968,121.063629,30.993515
B0969,121.162827,31.300154
B0970,121.718658,31.202723
B0971,121.419601,31.24226
B0972,121.307045,31.124323
B0977,121.599045,31.204069
B0978,121.519302,31.142927
B0981,121.302979,31.054672
B0983,121.343903,31.287321
B0984,121.353767,31.022026
B0985,121.792152,31.088766
B0991,121.695824,31.247307
B0992,121.171883,31.11097
B0994,121.48777,31.289875
B0999,121.542175,31.149813
B1002,121.731415,31.038961
B1005,121.442955,31.252914
B1006,121.447327,31.283365
B1007,121.553352,31.27775
B1016,121.519402,31.181046
B1023,121.497498,31.651251
B1027,121.28891,31.082741
B1028,121.37886,30.797726
B1031,121.524757,31.193184
B1034,121.398438,31.332155
B1035,121.373405,31.267254
B1036,121.204124,31.050911
B1042,121.18602,31.428236
B1048,121.261414,31.704378
B1050,121.157814,30.903509
B1052,121.56974,31.104263
B1055,121.270462,30.984751
B1057,121.436844,31.116472
B1058,121.42276,31.035879
B1062,121.555115,30.856735
B1063,121.278046,30.798477
B1064,121.454086,31.234411
B1073,121.263954,31.238739
B1074,121.433083,31.19594
B1076,121.386932,31.176886
B1077,121.19043,31.371376
B1079,121.747704,31.05353
B1082,121.805588,30.85183
B1092,121.288071,31.024784
B1095,121.763962,31.609695
B1096,121.179817,31.042198
B1099,121.13414,31.138998
B1100,121.462326,31.217848
B1105,121.609665,31.139362
B1106,121.434067,31.634657
B1109,121.259377,30.893158
B1111,121.426331,31.237858
B1114,121.219727,31.379749
B1115,121.420464,31.205254
B1116,121.191284,31.331602
B1117,121.682671,31.258261
B1118,121.207329,31.28504
B1119,121.753578,31.1705
B1121,121.654991,31.304884
B1125,121.541214,31.245142
B1126,121.204254,30.867878
B1127,121.138977,31.032679
B1128,121.573944,31.128119
B1132,121.423279,31.369478
B1137,121.215088,31.261417
B1138,121.644669,31.079725
B1139,121.43853,31.103086
B1141,121.494919,31.117613
B1143,121.896385,30.902658
B1144,121.678169,31.29546
B1145,121.203262,31.238508
B1148,121.269424,31.098621
B1150,121.146614,31.186623
B1152,121.098946,31.259422
B1157,121.49408,31.303026
B1163,121.361015,31.260216
B1170,121.461876,31.115986
B1173,121.438881,30.962902
B1175,121.265656,31.214203
