date,province,place,responsible,death,desc,lat,lng
2014-12-14,黑龙江,黑龙江鸡西市鸡东县 ,加奥煤炭销售有限公司兴运煤矿,10,发生瓦斯爆炸事故，造成10人死亡。,45.27322821,131.2256537
2011-10-11,黑龙江,黑龙江鸡西市鸡东县,金地煤矿,13,掘进工作面发生透水事故，造成13人死亡。,45.27322821,131.2256537
2014-8-14,黑龙江,黑龙江鸡西市城子河区,安之顺煤矿,16,在回撤设备过程中违法生产发生透水事故，造成16人死亡。,45.37968976,131.0277043
2013-1-28,黑龙江,黑龙江省黑河市,黑河铁路集团有限责任公司五大连池市客运有限责任公司,10,40296次列车在北黑线襄河车站内一平交道口处与五大连池市客运有限责任公司一辆大客车（黑N21198，核载35人，实载55）相撞，造成10人死亡，37人受伤。,50.25069009,127.5008303
2012-5-2,黑龙江,黑龙江省鹤岗市兴安区,峻源二煤矿,13,发生透水事故，造成13人死亡。,47.23371007,130.2443753
2013-3-11,黑龙江,黑龙江省鹤岗市,龙煤集团鹤岗分公司振兴煤矿,18,发生透水事故，造成4人死亡，14人下落不明。,47.3386659,130.2924721
2013-1-29,黑龙江,黑龙江省牡丹江市东宁县,永盛煤矿,12,3人入井维护抽水时发生一氧化碳中毒，另17人在下井抢救时也发生中毒，事故共造成12人死亡，8人受伤。,44.03243574,130.8503891
2012-9-22,黑龙江,黑龙江双鸭山市友谊县,龙山镇煤矿十井,12,三段车场馈电开关着火引起空压机爆炸，引燃支护木棚，导致硐室顶板冒落，造成12人死亡。,46.78859281,131.8549989
2012-12-1,黑龙江,黑龙江七台河市桃山区,福瑞祥煤炭有限责任公司八井,10,发生透水事故，造成8人死亡，2人失踪。,45.77009251,130.9925031
2011-10-16,陕西,陕西铜川市耀州区,田玉煤矿,11,东运输巷掘进工作面发生瓦斯爆炸事故，造成11人死亡。,35.03200036,108.8354997
2011-11-14,陕西,陕西西安市雁塔区,嘉天国际公寓樊记腊汁肉夹馍店,11,发生液化气罐泄漏爆炸事故，造成11人死亡，31人受伤。,34.22141492,108.9387904
2012-10-10,陕西,"陕西西安市周至县, ",中铁十八局集团有限公司,13,引汉济渭工程民工宿舍发生火灾，造成13人死亡，24人受伤。,33.95360236,108.1135415
2011-9-10,陕西,陕西省西安市玄武路北关村,凯玄大厦建筑工地，陕西省建工集团十一公司,10,在高层附着式脚手架上进行外墙立面贴及冲刷作业时，发生脚手架局部解体坠落事故，造成10人死亡，2人重伤。,34.29042465,108.9521862
2013-7-23,陕西,陕西渭南市澄城县,澄城县硫磺矿,10,发生火灾，造成10人死亡，9人受伤。,35.22256449,109.9016052
2014-5-14,陕西,陕西榆林市,中煤陕西榆林能源化工有限公司大海则煤矿,13,发生溜灰管坠落事故，造成13人死亡和下落不明。,38.27943924,109.7459257
2012-8-26,陕西,陕西延安市安塞县 ,"1.内蒙古呼运（集团）有限责任公司
2.河南省孟州市汽车运输有限责任公司",36,一辆宇通牌大客车（蒙AK1475，核载39人、实载39人）在包茂高速安塞段484公里+95米处，与河南省孟州市汽车运输有限责任公司一辆解放牌大货车（豫HD6962，核载33.5吨，实载35.22吨甲醇）追尾相撞，导致货车载甲醇泄漏起火并引燃客车，造成36人死亡，3人受伤。,36.92691988,109.1706815
2015-5-15,陕西,陕西咸阳市淳化县,"1、铜川王益区运输公司
2、依诺相伴生活馆",35,西安依诺相伴生活馆雇佣的铜川王益区运输公司一辆个人所有“营转非”大客车（陕B23938，核载47人、实载46人）在淳卜路2千米+450米处坠崖，造成35人死亡、11人受伤。,34.86911575,108.5702188
2014-3-25,重庆,重庆市黔江区 ,"1.泸州长龙集团有限责任公司
2.重庆金照汽车运输有限公司",16,一辆大客车（川E34436）行至包茂高速1863公里200米处发生侧翻，随后被一辆货车（渝BR2602）追尾碰撞，并致使后续车辆相继追尾，造成16人死亡，54人受伤。,29.44098103,108.714808
2011-10-17,重庆,重庆奉节县大树镇,一非法采煤窝点,14,利用富发煤矿报废风井生产时发生瓦斯爆炸事故，造成14人死亡。,31.21342352,109.332468
2012-8-20,重庆,重庆合川区,重庆市方固汽车运输有限公司,12,一辆重型自卸货车（渝BN7976，核载15.9吨，实载37吨）从清平镇驶往北碚区，行至110省道22公里600米处，与对向行驶的一辆小型客车（渝AEG122，核载8人、实载13人）相撞，造成12人死亡，1人受伤。,30.11870826,106.3180288
2013-10-12,重庆,重庆丰都县,中交路桥华东工程有限公司,11,长江二桥四号桥墩在建工地围堰垮塌，造成11人死亡。,29.89059572,107.8375174
2014-6-3,重庆,重庆万盛经济开发区,南桐矿业公司砚石台煤矿,22,发生瓦斯事故，造成22人死亡。,28.9164886,106.9237205
2012-2-20,辽宁,辽宁鞍山市,鞍钢重型机械有限责任公司铸钢厂,13,铸钢车间一钢包在浇注时发生喷爆事故，造成13人死亡，17人受伤。,41.11874368,123.0077633
2014-11-26,辽宁,辽宁阜新市 ,阜新矿业集团恒大煤业有限公司,28,发生煤尘爆燃事故，造成28人死亡，50人受伤。,42.01925011,121.6608221
2012-3-22,辽宁,辽宁辽阳市灯塔市,大黄二矿,22,发生瓦斯爆炸事故，事故当班下井23人，造成5人死亡，17人失踪，1人受伤。,41.42009886,123.3125736
2012-4-7,辽宁,辽宁省大连市,一辆个人所有中巴车（辽B2279W，核载27人，实载25人）,14,坠入道路右侧深20米的沟内，造成14人死亡，11人受伤。,38.94870994,121.5934778
2011-4-29,辽宁,辽宁省,“辽葫渔35457”号渔船,10,在山东龙须岛外3.5海里处海域倾覆，船上10人全部落水，造成10人死亡和失踪。,41.62160011,122.7535916
2012-11-28,辽宁,辽宁大连市金州区,个人所有,16,一艘渔船（辽大金渔养81388，载17名船员）在杏树屯猴儿石港出发准备出海作业时发生翻沉，造成15人死亡，1人下落不明。,39.29861907,121.9565825
2011-10-8,辽宁,辽宁大连市旅顺口区塔河湾,大连阿尔滨建设集团公司,13,蓝湾三期施工现场发生坍塌事故，造成13人死亡， 4人受伤。,38.82774664,121.336803
2015-3-7,贵州,贵州黔西南州兴仁县,兴仁县佳文生态农业开发有限公司,11,一辆轻型自卸货车（贵EM7201，载29名民工）在精品水果现代示范园区便道上，因刹车失灵发生侧翻，造成11人死亡，19人受伤。,25.4997838,105.2776303
2012-1-4,贵州,贵州黔南州贵定县，,安徽省黄山市凯鸿旅游客运有限公司,18,一辆客车（皖J06318，核载53人，实载57人）翻到路坎下，造成18人死亡，39人轻伤。,26.43366375,107.2039037
2011-10-4,贵州,贵州黔南州荔波县,安平煤矿,17,水仓掘进工作面发生煤与瓦斯突出事故，造成17人死亡。,25.40131799,107.9302134
2011-12-31,贵州,贵州黔东南州榕江县,个体,10,一辆面包车（贵JD3573，核载8人，实载13人）在距兴华乡乡政府7km处坠下山谷，造成10人死亡，2人重伤。,26.03627139,108.4199167
2012-2-18,贵州,贵州遵义市道真县，,遵义集顺达交通运输集团道真华通运输有限公司,13,一辆客车（贵C86256，核载19人，实载35人）翻到路边坎下，造成13人死亡，22人受伤,28.93415434,107.6168648
2011-7-2,贵州,贵州省黔南州平塘县,牛棚煤矿,23,发生透水事故，当班下井31人，其中8人安全升井，造成23人死亡和失踪。,25.7918489,107.1130875
2013-2-2,贵州,贵州省黔东南州从江县,黔东南州运发汽车运输有限公司,12,一辆中型客车（贵HA2008，核载19人，实载34人）行至四银公路5公里+800米处，翻下右侧80米深山谷内，造成12人死亡，22人受伤。,25.71884394,108.7297333
2012-4-26,贵州,贵州省铜仁市沿河县,新生煤矿,11,发生透水事故，造成11人死亡。,27.67490269,109.168558
2011-5-29,贵州,贵州省贵阳市金阳新区朱昌镇,富宏煤矿,13,7号煤层布置回采工作面的过程中发生透水事故，造成13人死亡。,26.66295832,106.5561862
2013-5-10,贵州,贵州省安顺市平坝县,大山煤矿,12,发生瓦斯爆炸事故，造成12人死亡，2人受伤。事故发生后，该矿未报告事故，经群众举报后查实。,26.40876868,106.2914047
2011-8-14,贵州,贵州省六盘水市盘县,过河口煤矿,10,运输巷掘进工作面违章放炮引发瓦斯爆炸事故，造成10人死亡。,25.77283834,104.6669131
2013-1-18,贵州,贵州省六盘水市盘县,贵州盘江精煤股份有限公司金佳煤矿,13,发生煤与瓦斯突出事故，造成13人死亡， 3人受伤。,25.77283834,104.6669131
2013-3-12,贵州,贵州省六盘水市水城县,贵州玉马能源开发有限公司马场煤矿,25,发生煤与瓦斯突出事故，造成25人死亡。,26.4305469,104.9303569
2014-10-5,贵州,贵州毕节市黔西县 ,永贵能源公司新田煤矿,10,发生煤与瓦斯突出事故，造成10人死亡。,26.90282593,106.7349961
2015-4-4,贵州,贵州毕节市纳雍县,贵州毕节市交通运输有限责任公司,21,一辆农村班线客车（贵F06818，核载19人，实载24人）在毕节市纳雍县老坝乡果几盖至老凹坝街上村通村水泥路）翻坠至51米深河床，造成21人死亡、3人受伤。,26.90282593,106.7349961
2014-11-27,贵州,贵州六盘水市盘县 ,松林煤矿,11,发生瓦斯爆炸事故，造成11人死亡，8人受伤。,25.77283834,104.6669131
